iter	Passed	Remaining
0	1	178
1	2	135
2	3	122
3	4	109
4	5	104
5	6	100
6	7	101
7	9	104
8	9	100
9	10	96
10	11	93
11	12	90
12	13	87
13	13	85
14	14	83
15	15	81
16	16	82
17	19	90
18	20	88
19	21	87
20	22	85
21	23	83
22	24	81
23	25	79
24	25	77
25	26	76
26	27	74
27	28	73
28	29	72
29	31	72
30	32	71
31	33	70
32	34	69
33	35	68
34	36	67
35	37	65
36	38	64
37	38	63
38	39	61
39	40	60
40	41	59
41	41	57
42	42	56
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	48	50
49	49	49
50	50	48
51	51	47
52	53	47
53	54	46
54	55	45
55	56	44
56	57	43
57	57	41
58	59	41
59	60	40
60	62	39
61	63	38
62	64	37
63	65	36
64	66	35
65	67	34
66	68	33
67	69	32
68	70	31
69	71	30
70	72	29
71	73	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	81	21
79	82	20
80	83	19
81	84	18
82	85	17
83	86	16
84	87	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
