iter	Passed	Remaining
0	139	139397
1	141	70565
2	142	47421
3	144	35946
4	146	29145
5	148	24597
6	150	21294
7	151	18793
8	153	16925
9	155	15401
10	157	14145
11	159	13108
12	161	12248
13	163	11490
14	165	10867
15	167	10274
16	168	9761
17	169	9274
18	171	8838
19	172	8461
20	176	8234
21	178	7939
22	180	7673
23	182	7409
24	184	7177
25	186	6970
26	188	6799
27	193	6717
28	195	6534
29	196	6350
30	197	6178
31	199	6020
32	200	5871
33	202	5742
34	204	5629
35	209	5611
36	211	5503
37	212	5386
38	214	5277
39	215	5177
40	216	5072
41	218	4973
42	219	4878
43	221	4809
44	224	4764
45	225	4683
46	227	4603
47	228	4532
48	229	4458
49	230	4386
50	232	4320
51	233	4255
52	234	4195
53	237	4158
54	238	4101
55	240	4048
56	241	3997
57	242	3945
58	244	3899
59	245	3849
60	247	3806
61	251	3805
62	253	3766
63	254	3724
64	255	3681
65	257	3639
66	258	3598
67	259	3558
68	261	3528
69	262	3490
70	265	3478
71	267	3445
72	268	3414
73	270	3381
74	271	3349
75	272	3316
76	274	3284
77	275	3258
78	277	3235
79	280	3221
80	282	3200
81	283	3172
82	284	3140
83	285	3115
84	287	3093
85	288	3070
86	290	3047
87	291	3023
88	294	3017
89	296	3002
90	298	2981
91	299	2960
92	301	2943
93	303	2923
94	304	2902
95	307	2893
96	311	2903
97	313	2883
98	314	2863
99	316	2845
100	317	2827
101	319	2809
102	320	2791
103	321	2773
104	323	2754
105	327	2761
106	328	2744
107	330	2726
108	331	2708
109	333	2698
110	335	2683
111	337	2672
112	338	2659
113	341	2652
114	343	2640
115	345	2631
116	346	2613
117	347	2599
118	349	2584
119	350	2570
120	352	2557
121	353	2541
122	356	2545
123	358	2533
124	362	2539
125	363	2524
126	365	2509
127	366	2495
128	367	2482
129	368	2469
130	371	2465
131	373	2456
132	375	2448
133	378	2443
134	379	2433
135	381	2422
136	382	2410
137	385	2406
138	387	2402
139	389	2394
140	391	2387
141	392	2373
142	394	2363
143	395	2352
144	397	2342
145	399	2335
146	401	2332
147	403	2321
148	404	2312
149	406	2303
150	408	2295
151	409	2285
152	411	2275
153	412	2267
154	415	2266
155	418	2261
156	419	2251
157	420	2243
158	422	2233
159	423	2224
160	424	2213
161	426	2204
162	427	2196
163	431	2198
164	433	2193
165	434	2185
166	436	2176
167	437	2167
168	439	2159
169	440	2151
170	442	2144
171	445	2146
172	447	2141
173	450	2139
174	453	2137
175	455	2130
176	456	2124
177	458	2116
178	462	2121
179	463	2112
180	465	2104
181	466	2096
182	467	2088
183	469	2082
184	471	2078
185	473	2072
186	476	2070
187	478	2066
188	479	2058
189	481	2052
190	483	2049
191	485	2044
192	487	2037
193	488	2031
194	492	2031
195	493	2024
196	494	2016
197	495	2008
198	497	2001
199	498	1993
200	499	1985
201	500	1978
202	502	1971
203	503	1965
204	506	1962
205	507	1956
206	509	1950
207	510	1943
208	511	1937
209	513	1930
210	514	1923
211	515	1916
212	517	1911
213	520	1910
